DayNum,VehId,Trip,Timestamp(ms),Latitude[deg],Longitude[deg],Vehicle Speed[km/h],MAF[g/sec],Engine RPM[RPM],Absolute Load[%],OAT[DegC],Fuel Rate[L/hr],Air Conditioning Power[kW],Air Conditioning Power[Watts],Heater Power[Watts],HV Battery Current[A],HV Battery SOC[%],HV Battery Voltage[V],Short Term Fuel Trim Bank 1[%],Short Term Fuel Trim Bank 2[%],Long Term Fuel Trim Bank 1[%],Long Term Fuel Trim Bank 2[%]
155.5329374,10,2213,0,42.28457278,-83.74321417,55.12999725,NaN,NaN,NaN,-2.5,NaN,NaN,1050,1250,-13.5,100,385.5,NaN,NaN,NaN,NaN
155.5329374,10,2213,300,42.28457278,-83.74321417,55.12999725,NaN,NaN,NaN,-2.5,NaN,NaN,1050,1250,-11.5,100,385.5,NaN,NaN,NaN,NaN
155.5329374,10,2213,1100,42.28457278,-83.74321417,54.87999725,NaN,NaN,NaN,-2.5,NaN,NaN,1050,1250,-11.5,100,385.5,NaN,NaN,NaN,NaN
155.5329374,10,2213,1400,42.28457278,-83.74321417,54.87999725,NaN,NaN,NaN,-2.5,NaN,NaN,1050,1250,-11,100,385.5,NaN,NaN,NaN,NaN
155.5329374,10,2213,2200,42.28457278,-83.74321417,54.93999863,NaN,NaN,NaN,-2.5,NaN,NaN,1050,1250,-11,100,385.5,NaN,NaN,NaN,NaN
155.5329374,10,2213,3100,42.28498694,-83.74323611,54.93999863,NaN,NaN,NaN,-2.5,NaN,NaN,1050,1250,-11,100,385.5,NaN,NaN,NaN,NaN
155.5329374,10,2213,3200,42.28498694,-83.74323611,55.34999847,NaN,NaN,NaN,-2.5,NaN,NaN,1050,1250,-11,100,385.5,NaN,NaN,NaN,NaN
155.5329374,10,2213,3400,42.28498694,-83.74323611,55.34999847,NaN,NaN,NaN,-2.5,NaN,NaN,1050,1250,-30.5,100,385.5,NaN,NaN,NaN,NaN
155.5329374,10,2213,4300,42.28498694,-83.74323611,56.36000061,NaN,NaN,NaN,-2.5,NaN,NaN,1050,1250,-30.5,100,385.5,NaN,NaN,NaN,NaN
155.5329374,10,2213,4400,42.28498694,-83.74323611,56.36000061,NaN,NaN,NaN,-2.5,NaN,NaN,1050,1250,-28,100,385.5,NaN,NaN,NaN,NaN
155.5329374,10,2213,4800,42.28498694,-83.74323611,56.36000061,NaN,NaN,NaN,-2.5,NaN,NaN,1050,1250,-28,100,382.5,NaN,NaN,NaN,NaN
155.5329374,10,2213,5300,42.28498694,-83.74323611,57.31999969,NaN,NaN,NaN,-2.5,NaN,NaN,1050,1250,-28,100,382.5,NaN,NaN,NaN,NaN
155.5329374,10,2213,5500,42.28498694,-83.74323611,57.31999969,NaN,NaN,NaN,-2.5,NaN,NaN,1050,1250,-16.5,100,382.5,NaN,NaN,NaN,NaN
155.5329374,10,2213,6000,42.28544194,-83.74324806,57.31999969,NaN,NaN,NaN,-2.5,NaN,NaN,1050,1250,-16.5,100,382.5,NaN,NaN,NaN,NaN
155.5329374,10,2213,6400,42.28544194,-83.74324806,57.80999756,NaN,NaN,NaN,-2.5,NaN,NaN,1050,1250,-16.5,100,382.5,NaN,NaN,NaN,NaN
155.5329374,10,2213,7400,42.28544194,-83.74324806,58.18999863,NaN,NaN,NaN,-2.5,NaN,NaN,1050,1250,-16.5,100,382.5,NaN,NaN,NaN,NaN
155.5329374,10,2213,7600,42.28544194,-83.74324806,58.18999863,NaN,NaN,NaN,-2.5,NaN,NaN,1050,1250,-11.5,100,382.5,NaN,NaN,NaN,NaN
155.5329374,10,2213,8400,42.28544194,-83.74324806,58.59999847,NaN,NaN,NaN,-2.5,NaN,NaN,1050,1250,-11.5,100,382.5,NaN,NaN,NaN,NaN
155.5329374,10,2213,8600,42.28544194,-83.74324806,58.59999847,NaN,NaN,NaN,-2.5,NaN,NaN,1050,1250,-14.5,100,382.5,NaN,NaN,NaN,NaN
